path_no,o_zone_id,d_zone_id,node_sequence,link_sequence,geometry,Path_Flows
432,8,19,8;7;18;16;17;19;,20;18;55;49;53;,"LINESTRING (-96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591)",72.45254516601562
433,8,19,8;7;18;20;21;22;15;19;,20;18;56;62;65;67;45;,"LINESTRING (-96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.731241 43.514858, -96.731504 43.529401, -96.711316 43.529591)",493.0577087402344
434,8,20,8;7;18;20;,20;18;56;,"LINESTRING (-96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)",43.4100341796875
435,8,20,8;16;18;20;,22;50;56;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)",856.5899658203125
436,8,21,8;7;18;20;21;,20;18;56;62;,"LINESTRING (-96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485)",74.79236602783203
437,8,21,8;16;18;20;21;,22;50;56;62;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485)",325.2076416015625
438,8,22,8;7;18;20;22;,20;18;56;63;,"LINESTRING (-96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.731241 43.514858)",98.8921127319336
439,8,22,8;16;18;20;22;,22;50;56;63;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333, -96.731241 43.514858)",65.07568359375
440,8,22,8;7;18;20;21;22;,20;18;56;62;65;,"LINESTRING (-96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.731241 43.514858)",48.640869140625
441,8,22,8;16;17;19;15;22;,22;49;53;57;46;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591, -96.731504 43.529401, -96.731241 43.514858)",287.3913269042969
442,8,23,8;7;18;20;22;23;,20;18;56;63;70;,"LINESTRING (-96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.731241 43.514858, -96.750904 43.514858)",27.181264877319336
443,8,23,8;16;18;20;22;23;,22;50;56;63;70;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333, -96.731241 43.514858, -96.750904 43.514858)",45.69837951660156
444,8,23,8;16;17;19;15;14;23;,22;49;53;57;44;42;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591, -96.731504 43.529401, -96.751035 43.529306, -96.750904 43.514858)",77.34004211425781
445,8,23,8;16;17;19;15;22;23;,22;49;53;57;46;70;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591, -96.731504 43.529401, -96.731241 43.514858, -96.750904 43.514858)",39.39356231689453
446,8,23,8;7;18;20;21;24;23;,20;18;56;62;66;76;,"LINESTRING (-96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.749200 43.503164, -96.750904 43.514858)",110.38674926757812
447,8,24,8;7;18;20;21;24;,20;18;56;62;66;,"LINESTRING (-96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.749200 43.503164)",11.155614852905273
448,8,24,8;16;18;20;21;24;,22;50;56;62;66;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333, -96.730979 43.510485, -96.749200 43.503164)",91.26736450195312
449,8,24,8;7;18;20;22;23;24;,20;18;56;63;70;73;,"LINESTRING (-96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333, -96.731241 43.514858, -96.750904 43.514858, -96.749200 43.503164)",22.696226119995117
450,8,24,8;16;17;19;15;22;23;24;,22;49;53;57;46;70;73;,"LINESTRING (-96.711382 43.562324, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591, -96.731504 43.529401, -96.731241 43.514858, -96.750904 43.514858, -96.749200 43.503164)",74.88079071044922
451,9,1,9;5;4;3;1;,23;11;8;5;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828)",74.58815002441406
452,9,1,9;10;11;12;3;1;,25;27;33;35;5;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828)",425.411865234375
453,9,2,9;5;4;3;1;2;,23;11;8;5;1;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813)",19.531923294067383
454,9,2,9;5;6;2;,23;12;14;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.711644 43.587586, -96.711251 43.605813)",77.6011962890625
455,9,2,9;10;11;12;3;1;2;,25;27;33;35;5;1;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813)",102.86688232421875
456,9,3,9;5;4;3;,23;11;8;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962)",65.60657501220703
457,9,3,9;10;11;12;3;,25;27;33;35;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962)",34.39342498779297
458,9,4,9;5;4;,23;11;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654)",35.90393829345703
459,9,4,9;10;11;12;3;4;,25;27;33;35;6;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654)",664.0960693359375
460,9,5,9;10;11;12;3;4;5;,25;27;33;35;6;9;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",0.0
461,9,6,9;5;6;,23;12;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.711644 43.587586)",7.457218647003174
462,9,6,9;10;11;12;3;1;2;6;,25;27;33;35;5;1;4;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)",392.54278564453125
463,9,7,9;8;7;,24;20;,"LINESTRING (-96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844)",32.942649841308594
464,9,7,9;10;16;18;7;,25;29;50;54;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)",37.741233825683594
465,9,7,9;10;11;12;3;1;2;6;8;7;,25;27;33;35;5;1;4;16;20;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",529.3161010742188
466,9,8,9;5;6;8;,23;12;16;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324)",85.09941864013672
467,9,8,9;10;16;8;,25;29;47;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744, -96.711382 43.562324)",46.72445297241211
468,9,8,9;10;11;12;3;1;2;6;8;,25;27;33;35;5;1;4;16;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)",0.0
469,9,11,9;5;4;11;,23;11;10;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.746841 43.544131)",0.1735234558582306
470,9,11,9;10;11;,25;27;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131)",1399.826416015625
471,9,12,9;5;4;3;12;,23;11;8;7;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.780137 43.543941)",50.764198303222656
472,9,12,9;10;11;12;,25;27;33;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941)",549.2357788085938
473,9,13,9;5;4;3;12;13;,23;11;8;7;37;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707)",91.17442321777344
474,9,13,9;10;11;12;13;,25;27;33;37;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.793377 43.490707)",508.8255615234375
475,9,14,9;10;11;14;,25;27;34;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306)",79.71731567382812
476,9,14,9;10;15;14;,25;28;44;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.751035 43.529306)",70.71337890625
477,9,14,9;10;15;22;23;14;,25;28;46;70;71;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.731241 43.514858, -96.750904 43.514858, -96.751035 43.529306)",449.5693054199219
478,9,15,9;10;15;,25;28;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401)",70.09834289550781
479,9,15,9;10;11;14;15;,25;27;34;41;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401)",829.9016723632812
480,9,16,9;8;16;,24;22;,"LINESTRING (-96.731241 43.548596, -96.711382 43.562324, -96.711382 43.546744)",70.58478546142578
481,9,16,9;10;16;,25;29;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744)",30.53287696838379
482,9,16,9;8;7;18;16;,24;20;18;55;,"LINESTRING (-96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)",1298.88232421875
483,9,17,9;10;17;,25;30;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.711382 43.541280)",53.50613784790039
484,9,17,9;10;16;17;,25;29;49;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744, -96.711382 43.541280)",846.4938354492188
485,9,18,9;8;7;18;,24;20;18;,"LINESTRING (-96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744)",32.60011672973633
486,9,18,9;10;16;18;,25;29;50;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744, -96.694078 43.546744)",66.65778350830078
487,9,18,9;10;11;14;15;22;21;20;18;,25;27;34;41;46;69;64;60;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744)",100.74209594726562
488,9,19,9;10;15;19;,25;28;45;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",78.48283386230469
489,9,19,9;10;16;17;19;,25;29;49;53;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591)",78.19652557373047
490,9,19,9;10;11;14;15;19;,25;27;34;41;45;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591)",243.32064819335938
491,9,20,9;8;7;18;20;,24;20;18;56;,"LINESTRING (-96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)",41.649879455566406
492,9,20,9;10;15;19;20;,25;28;45;59;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333)",0.9965983033180237
493,9,20,9;10;16;18;20;,25;29;50;56;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)",89.5078125
494,9,20,9;10;11;14;15;22;21;20;,25;27;34;41;46;69;64;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333)",467.845703125
495,9,21,9;10;15;22;21;,25;28;46;69;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485)",37.1104736328125
496,9,21,9;5;4;3;12;13;24;21;,23;11;8;7;37;39;75;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.730979 43.510485)",19.5062198638916
497,9,21,9;10;15;19;20;21;,25;28;45;59;62;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.730979 43.510485)",69.23957824707031
498,9,21,9;10;11;14;15;22;21;,25;27;34;41;46;69;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485)",38.55615234375
499,9,21,9;10;11;14;23;24;21;,25;27;34;42;73;75;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.730979 43.510485)",135.58758544921875
500,9,22,9;10;15;22;,25;28;46;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.731241 43.514858)",41.359676361083984
501,9,22,9;10;11;14;15;22;,25;27;34;41;46;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858)",67.67092895507812
502,9,22,9;10;15;19;20;22;,25;28;45;59;63;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.731241 43.514858)",590.9693603515625
503,9,23,9;10;11;14;23;,25;27;34;42;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.750904 43.514858)",31.24805450439453
504,9,23,9;10;15;14;23;,25;28;44;42;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.751035 43.529306, -96.750904 43.514858)",38.46342849731445
505,9,23,9;10;15;22;23;,25;28;46;70;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.731241 43.514858, -96.750904 43.514858)",81.53657531738281
506,9,23,9;10;15;19;20;22;23;,25;28;45;59;63;70;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.731241 43.514858, -96.750904 43.514858)",26.296133041381836
507,9,23,9;10;15;22;21;24;23;,25;28;46;69;66;76;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.749200 43.503164, -96.750904 43.514858)",322.455810546875
508,9,24,9;5;4;3;12;13;24;,23;11;8;7;37;39;,"LINESTRING (-96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164)",69.89412689208984
509,9,24,9;10;11;14;23;24;,25;27;34;42;73;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164)",35.01934814453125
510,9,24,9;10;15;22;21;24;,25;28;46;69;66;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.749200 43.503164)",36.05540466308594
511,9,24,9;10;11;14;15;22;21;24;,25;27;34;41;46;69;66;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.749200 43.503164)",94.91960144042969
512,9,24,9;10;15;19;20;22;23;24;,25;28;45;59;63;70;73;,"LINESTRING (-96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.731241 43.514858, -96.750904 43.514858, -96.749200 43.503164)",0.0
513,10,1,10;11;4;3;1;,27;31;8;5;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828)",74.1503677368164
514,10,1,10;9;5;4;3;1;,26;23;11;8;5;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828)",15.46634578704834
515,10,1,10;11;12;3;1;,27;33;35;5;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828)",1210.38330078125
516,10,2,10;9;5;4;3;1;2;,26;23;11;8;5;1;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813)",22.1263370513916
517,10,2,10;9;5;6;2;,26;23;12;14;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.711644 43.587586, -96.711251 43.605813)",18.601476669311523
518,10,2,10;11;12;3;1;2;,27;33;35;5;1;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813)",70.15998840332031
519,10,2,10;16;8;6;2;,29;47;19;14;,"LINESTRING (-96.731438 43.545271, -96.711382 43.546744, -96.711382 43.562324, -96.711644 43.587586, -96.711251 43.605813)",489.1121826171875
520,10,3,10;11;4;3;,27;31;8;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.747168 43.563654, -96.774303 43.572962)",75.94178771972656
521,10,3,10;9;5;4;3;,26;23;11;8;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962)",15.461552619934082
522,10,3,10;11;12;3;,27;33;35;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962)",208.59664916992188
523,10,4,10;11;4;,27;31;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.747168 43.563654)",37.467350006103516
524,10,4,10;9;5;4;,26;23;11;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654)",81.97761535644531
525,10,4,10;11;12;3;4;,27;33;35;6;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654)",1080.5550537109375
526,10,5,10;9;5;,26;23;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034)",54.52311706542969
527,10,5,10;11;4;5;,27;31;9;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.747168 43.563654, -96.731569 43.564034)",35.252254486083984
528,10,5,10;11;12;3;4;5;,27;33;35;6;9;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",910.224609375
529,10,6,10;9;5;6;,26;23;12;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.711644 43.587586)",12.770247459411621
530,10,6,10;11;4;5;6;,27;31;9;12;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586)",83.28468322753906
531,10,6,10;16;8;6;,29;47;19;,"LINESTRING (-96.731438 43.545271, -96.711382 43.546744, -96.711382 43.562324, -96.711644 43.587586)",51.06478500366211
532,10,6,10;11;12;3;1;2;6;,27;33;35;5;1;4;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)",652.8802490234375
533,10,7,10;9;8;7;,26;24;20;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844)",48.28883743286133
534,10,7,10;16;18;7;,29;50;54;,"LINESTRING (-96.731438 43.545271, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)",86.4207534790039
535,10,7,10;11;12;3;1;2;6;8;7;,27;33;35;5;1;4;16;20;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",1765.29052734375
536,10,8,10;9;8;,26;24;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.711382 43.562324)",33.61886978149414
537,10,8,10;16;8;,29;47;,"LINESTRING (-96.731438 43.545271, -96.711382 43.546744, -96.711382 43.562324)",40.09206771850586
538,10,8,10;11;12;3;1;2;6;8;,27;33;35;5;1;4;16;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.774303 43.572962, -96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)",1526.2890625
539,10,11,10;9;5;4;11;,26;23;11;10;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.746841 43.544131)",0.0
540,10,12,10;11;12;,27;33;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941)",75.87841033935547
541,10,12,10;9;5;4;3;12;,26;23;11;8;7;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.780137 43.543941)",1924.12158203125
542,10,13,10;11;12;13;,27;33;37;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.780137 43.543941, -96.793377 43.490707)",95.6527328491211
543,10,13,10;9;5;4;3;12;13;,26;23;11;8;7;37;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.731569 43.564034, -96.747168 43.563654, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707)",1804.3472900390625
544,10,14,10;11;14;,27;34;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306)",67.74070739746094
545,10,14,10;15;14;,28;44;,"LINESTRING (-96.731438 43.545271, -96.731504 43.529401, -96.751035 43.529306)",78.77322387695312
546,10,14,10;15;22;23;14;,28;46;70;71;,"LINESTRING (-96.731438 43.545271, -96.731504 43.529401, -96.731241 43.514858, -96.750904 43.514858, -96.751035 43.529306)",1953.486083984375
547,10,15,10;11;14;15;,27;34;41;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401)",0.0
548,10,16,10;9;8;7;18;16;,26;24;20;18;55;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711382 43.546744)",71.53565979003906
549,10,16,10;15;19;20;18;16;,28;45;59;60;55;,"LINESTRING (-96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.694078 43.546744, -96.711382 43.546744)",0.0
550,10,17,10;16;17;,29;49;,"LINESTRING (-96.731438 43.545271, -96.711382 43.546744, -96.711382 43.541280)",0.0
551,10,18,10;16;18;,29;50;,"LINESTRING (-96.731438 43.545271, -96.711382 43.546744, -96.694078 43.546744)",26.76165199279785
552,10,18,10;9;8;7;18;,26;24;20;18;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744)",59.365360260009766
553,10,18,10;15;19;20;18;,28;45;59;60;,"LINESTRING (-96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.694078 43.546744)",29.822359085083008
554,10,18,10;11;14;15;22;21;20;18;,27;34;41;46;69;64;60;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333, -96.694078 43.546744)",584.0506591796875
555,10,19,10;15;19;,28;45;,"LINESTRING (-96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591)",72.97982788085938
556,10,19,10;16;17;19;,29;49;53;,"LINESTRING (-96.731438 43.545271, -96.711382 43.546744, -96.711382 43.541280, -96.711316 43.529591)",4.778533458709717
557,10,19,10;11;14;15;19;,27;34;41;45;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.711316 43.529591)",1722.24169921875
558,10,20,10;15;19;20;,28;45;59;,"LINESTRING (-96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333)",44.64504623413086
559,10,20,10;16;18;20;,29;50;56;,"LINESTRING (-96.731438 43.545271, -96.711382 43.546744, -96.694078 43.546744, -96.711185 43.515333)",13.306550979614258
560,10,20,10;9;8;7;18;20;,26;24;20;18;56;,"LINESTRING (-96.731438 43.545271, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844, -96.694078 43.546744, -96.711185 43.515333)",70.48340606689453
561,10,20,10;15;22;21;20;,28;46;69;64;,"LINESTRING (-96.731438 43.545271, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333)",96.8089370727539
562,10,20,10;11;14;15;22;21;20;,27;34;41;46;69;64;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485, -96.711185 43.515333)",2274.756103515625
563,10,21,10;15;22;21;,28;46;69;,"LINESTRING (-96.731438 43.545271, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485)",19.149417877197266
564,10,21,10;15;19;20;21;,28;45;59;62;,"LINESTRING (-96.731438 43.545271, -96.731504 43.529401, -96.711316 43.529591, -96.711185 43.515333, -96.730979 43.510485)",73.35352325439453
565,10,21,10;11;14;15;22;21;,27;34;41;46;69;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858, -96.730979 43.510485)",44.64895248413086
566,10,21,10;11;14;23;24;21;,27;34;42;73;75;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.750904 43.514858, -96.749200 43.503164, -96.730979 43.510485)",1062.84814453125
567,10,22,10;15;22;,28;46;,"LINESTRING (-96.731438 43.545271, -96.731504 43.529401, -96.731241 43.514858)",94.30643463134766
568,10,22,10;11;14;15;22;,27;34;41;46;,"LINESTRING (-96.731438 43.545271, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401, -96.731241 43.514858)",30.95990562438965
